"dataset","split","support","class","n_c","G_c","min_m_ic","max_m_ic","max_share","D_c"
"bracs","1","balanced_spread","FEA","3886","33","1","209","0.05378281008749357","0.29384425833216365"
"bracs","1","balanced_spread","ADH","3886","37","4","339","0.08723623262995368","0.3557955794188425"
"bracs","1","balanced_spread","DCIS","3886","36","2","143","0.03679876479670612","0.19540229885057472"
"bracs","1","balanced_spread","IC","3886","41","4","113","0.02907874420998456","0.13762348894719004"
"bracs","2","balanced","N","1998","29","8","85","0.04254254254254254","0.14212488350419386"
"bracs","2","balanced","PB","1998","20","4","162","0.08108108108108109","0.23713713713713713"
"bracs","2","balanced","UDH","1998","28","1","121","0.06056056056056056","0.2841055341055341"
"bracs","2","balanced","FEA","1997","20","1","167","0.08362543815723586","0.2594892338507762"
"bracs","2","balanced","ADH","1997","37","4","67","0.03355032548823235","0.14456820365683662"
"bracs","2","balanced","DCIS","1997","20","28","170","0.08512769153730596","0.11947921882824236"
"bracs","2","balanced","IC","1997","20","70","111","0.05558337506259389","0.04266399599399101"
"bracs","2","balanced_spread","N","1998","50","1","48","0.024024024024024024","0.13389389389389392"
"bracs","2","balanced_spread","PB","1998","64","4","36","0.018018018018018018","0.10124186686686688"
"bracs","2","balanced_spread","UDH","1998","46","1","68","0.03403403403403404","0.28391434913174046"
"bracs","2","balanced_spread","FEA","1997","30","1","95","0.04757135703555333","0.22201635787013857"
"bracs","2","balanced_spread","ADH","1997","37","4","67","0.03355032548823235","0.14456820365683662"
"bracs","2","balanced_spread","DCIS","1997","38","28","55","0.02754131196795193","0.027422713016893772"
"bracs","2","balanced_spread","IC","1997","44","6","50","0.02503755633450175","0.08208904265489142"
"tcga_ut","0","balanced","Brain_Lower_Grade_Glioma","1494","31","48","49","0.03279785809906292","0.00323876149760334"
"tcga_ut","0","balanced","Breast_invasive_carcinoma","1494","31","48","49","0.03279785809906292","0.00323876149760334"
"tcga_ut","0","balanced","Glioblastoma_multiforme","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Lung_adenocarcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Lung_squamous_cell_carcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Uterine_Corpus_Endometrial_Carcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Sarcoma","1493","30","30","51","0.03415941058271936","0.013239562402322"
"tcga_ut","0","balanced","Head_and_Neck_squamous_cell_carcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Kidney_renal_clear_cell_carcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Thyroid_carcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Bladder_Urothelial_Carcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Stomach_adenocarcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Skin_Cutaneous_Melanoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Prostate_adenocarcinoma","1493","36","41","42","0.02813127930341594","0.006009525935848772"
"tcga_ut","0","balanced","Liver_hepatocellular_carcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Colon_adenocarcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Kidney_renal_papillary_cell_carcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma","1493","31","48","49","0.03281982585398526","0.0028088066892811812"
"tcga_ut","0","balanced","Testicular_Germ_Cell_Tumors","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Adrenocortical_carcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Pancreatic_adenocarcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Thymoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Esophageal_carcinoma","1493","38","39","40","0.02679169457468185","0.005234956110974003"
"tcga_ut","0","balanced","Kidney_Chromophobe","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Ovarian_serous_cystadenocarcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Uterine_Carcinosarcoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Mesothelioma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Rectum_adenocarcinoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Uveal_Melanoma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced","Pheochromocytoma_and_Paraganglioma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","0","balanced_spread","Brain_Lower_Grade_Glioma","1494","327","4","5","0.0033467202141900937","0.05368262038981615"
"tcga_ut","0","balanced_spread","Breast_invasive_carcinoma","1494","514","2","3","0.002008032128514056","0.029128185895332254"
"tcga_ut","0","balanced_spread","Glioblastoma_multiforme","1493","255","5","6","0.004018754186202277","0.021186451807782697"
"tcga_ut","0","balanced_spread","Lung_adenocarcinoma","1493","304","4","5","0.003348961821835231","0.01647821412204324"
"tcga_ut","0","balanced_spread","Lung_squamous_cell_carcinoma","1493","305","4","5","0.003348961821835231","0.019184610147903333"
"tcga_ut","0","balanced_spread","Uterine_Corpus_Endometrial_Carcinoma","1493","267","5","6","0.004018754186202277","0.04320286179449162"
"tcga_ut","0","balanced_spread","Sarcoma","1493","149","10","11","0.007367716008037508","0.0019689198361930523"
"tcga_ut","0","balanced_spread","Head_and_Neck_squamous_cell_carcinoma","1493","221","6","7","0.004688546550569324","0.027331165347791956"
"tcga_ut","0","balanced_spread","Kidney_renal_clear_cell_carcinoma","1493","269","5","6","0.004018754186202277","0.04458974595198906"
"tcga_ut","0","balanced_spread","Thyroid_carcinoma","1493","259","5","6","0.004018754186202277","0.031234564389286384"
"tcga_ut","0","balanced_spread","Bladder_Urothelial_Carcinoma","1493","203","7","8","0.0053583389149363695","0.031120598919753578"
"tcga_ut","0","balanced_spread","Stomach_adenocarcinoma","1493","182","8","9","0.006028131279303416","0.019744154037523137"
"tcga_ut","0","balanced_spread","Skin_Cutaneous_Melanoma","1493","227","6","7","0.004688546550569324","0.03710708711136554"
"tcga_ut","0","balanced_spread","Prostate_adenocarcinoma","1493","213","7","8","0.0053583389149363695","0.0013270064683703858"
"tcga_ut","0","balanced_spread","Liver_hepatocellular_carcinoma","1493","190","7","8","0.0053583389149363695","0.01551450629252299"
"tcga_ut","0","balanced_spread","Colon_adenocarcinoma","1493","147","10","11","0.007367716008037508","0.012994883150849072"
"tcga_ut","0","balanced_spread","Kidney_renal_papillary_cell_carcinoma","1493","150","9","10","0.006697923643670462","0.004469747711542724"
"tcga_ut","0","balanced_spread","Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma","1493","141","10","11","0.007367716008037508","0.022867946397609636"
"tcga_ut","0","balanced_spread","Testicular_Germ_Cell_Tumors","1493","92","16","17","0.011386470194239785","0.010855004513818104"
"tcga_ut","0","balanced_spread","Adrenocortical_carcinoma","1493","35","42","43","0.028801071667782986","0.005281791216151561"
"tcga_ut","0","balanced_spread","Pancreatic_adenocarcinoma","1493","88","16","17","0.011386470194239785","0.0019408756012908295"
"tcga_ut","0","balanced_spread","Thymoma","1493","59","25","26","0.017414601473543203","0.008378080761065741"
"tcga_ut","0","balanced_spread","Esophageal_carcinoma","1493","78","19","20","0.013395847287340924","0.006328679135109119"
"tcga_ut","0","balanced_spread","Kidney_Chromophobe","1493","58","25","26","0.017414601473543203","0.0074485530175301025"
"tcga_ut","0","balanced_spread","Ovarian_serous_cystadenocarcinoma","1493","58","25","26","0.017414601473543203","0.0074485530175301025"
"tcga_ut","0","balanced_spread","Uterine_Carcinosarcoma","1493","35","42","43","0.028801071667782986","0.005281791216151561"
"tcga_ut","0","balanced_spread","Mesothelioma","1493","43","34","35","0.02344273275284662","0.005794482780105647"
"tcga_ut","0","balanced_spread","Rectum_adenocarcinoma","1493","45","33","34","0.02277294038847957","0.00440574533005882"
"tcga_ut","0","balanced_spread","Uveal_Melanoma","1493","39","38","39","0.026121902210314803","0.00528964226218076"
"tcga_ut","0","balanced_spread","Pheochromocytoma_and_Paraganglioma","1493","30","49","50","0.033489618218352314","0.0035945523554365352"
"tcga_ut","1","balanced","Brain_Lower_Grade_Glioma","1741","33","52","53","0.030442274554853533","0.003481106295580733"
"tcga_ut","1","balanced","Breast_invasive_carcinoma","1741","35","49","50","0.02871912693854107","0.003840157544924932"
"tcga_ut","1","balanced","Glioblastoma_multiforme","1741","20","87","88","0.05054566341183228","0.0005456634118323304"
"tcga_ut","1","balanced","Lung_squamous_cell_carcinoma","1741","23","75","76","0.043653072946582425","0.002796993232275325"
"tcga_ut","1","balanced","Lung_adenocarcinoma","1740","21","82","83","0.04770114942528736","0.001477832512315317"
"tcga_ut","1","balanced","Sarcoma","1740","20","87","87","0.05","0"
"tcga_ut","1","balanced","Uterine_Corpus_Endometrial_Carcinoma","1740","21","82","83","0.04770114942528736","0.001477832512315317"
"tcga_ut","1","balanced","Head_and_Neck_squamous_cell_carcinoma","1740","20","87","87","0.05","0"
"tcga_ut","1","balanced","Kidney_renal_clear_cell_carcinoma","1740","21","82","83","0.04770114942528736","0.001477832512315317"
"tcga_ut","1","balanced","Thyroid_carcinoma","1740","36","48","49","0.028160919540229885","0.00459770114942528"
"tcga_ut","1","balanced","Skin_Cutaneous_Melanoma","1740","20","87","87","0.05","0"
"tcga_ut","1","balanced","Bladder_Urothelial_Carcinoma","1740","21","82","83","0.04770114942528736","0.001477832512315317"
"tcga_ut","1","balanced","Stomach_adenocarcinoma","1740","20","87","87","0.05","0"
"tcga_ut","1","balanced","Prostate_adenocarcinoma","1740","41","42","43","0.02471264367816092","0.005803195962994116"
"tcga_ut","1","balanced","Liver_hepatocellular_carcinoma","1740","22","79","80","0.04597701149425287","0.0010449320794148204"
"tcga_ut","1","balanced","Colon_adenocarcinoma","1740","23","75","76","0.04367816091954023","0.0029985007496251756"
"tcga_ut","1","balanced","Kidney_renal_papillary_cell_carcinoma","1740","20","20","154","0.08850574712643679","0.038505747126436785"
"tcga_ut","1","balanced","Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma","1740","31","56","57","0.032758620689655175","0.0020022246941045624"
"tcga_ut","1","balanced","Testicular_Germ_Cell_Tumors","1740","20","87","87","0.05","0"
"tcga_ut","1","balanced","Adrenocortical_carcinoma","1740","20","87","87","0.05","0"
"tcga_ut","1","balanced","Thymoma","1740","20","87","87","0.05","0"
"tcga_ut","1","balanced","Pancreatic_adenocarcinoma","1740","20","87","87","0.05","0"
"tcga_ut","1","balanced","Esophageal_carcinoma","1740","44","39","40","0.022988505747126436","0.006269592476489026"
"tcga_ut","1","balanced","Ovarian_serous_cystadenocarcinoma","1740","21","82","83","0.04770114942528736","0.001477832512315317"
"tcga_ut","1","balanced","Kidney_Chromophobe","1740","27","64","65","0.03735632183908046","0.0038314176245210912"
"tcga_ut","1","balanced","Uterine_Carcinosarcoma","1740","20","87","87","0.05","0"
"tcga_ut","1","balanced","Mesothelioma","1740","20","70","104","0.059770114942528735","0.009770114942528735"
"tcga_ut","1","balanced","Rectum_adenocarcinoma","1740","39","44","45","0.02586206896551724","0.005305039787798411"
"tcga_ut","1","balanced","Uveal_Melanoma","1740","23","75","76","0.04367816091954023","0.0029985007496251756"
"tcga_ut","1","balanced","Pheochromocytoma_and_Paraganglioma","1740","30","58","58","0.03333333333333333","0"
"tcga_ut","1","balanced_spread","Brain_Lower_Grade_Glioma","1741","327","5","6","0.0034462952326249283","0.04114827325151456"
"tcga_ut","1","balanced_spread","Breast_invasive_carcinoma","1741","514","3","4","0.0022975301550832855","0.07004896778764384"
"tcga_ut","1","balanced_spread","Glioblastoma_multiforme","1741","255","6","7","0.00402067777139575","0.020912029372346305"
"tcga_ut","1","balanced_spread","Lung_squamous_cell_carcinoma","1741","305","5","6","0.0034462952326249283","0.03620304893550909"
"tcga_ut","1","balanced_spread","Lung_adenocarcinoma","1740","304","5","6","0.0034482758620689655","0.03493647912885663"
"tcga_ut","1","balanced_spread","Sarcoma","1740","149","11","12","0.006896551724137931","0.018699375144642448"
"tcga_ut","1","balanced_spread","Uterine_Corpus_Endometrial_Carcinoma","1740","267","6","7","0.004022988505747126","0.038318481208833785"
"tcga_ut","1","balanced_spread","Head_and_Neck_squamous_cell_carcinoma","1740","221","7","8","0.004597701149425287","0.014053154418265944"
"tcga_ut","1","balanced_spread","Kidney_renal_clear_cell_carcinoma","1740","269","6","7","0.004022988505747126","0.03849506473529034"
"tcga_ut","1","balanced_spread","Thyroid_carcinoma","1740","259","6","7","0.004022988505747126","0.03012914392224736"
"tcga_ut","1","balanced_spread","Skin_Cutaneous_Melanoma","1740","227","7","8","0.004597701149425287","0.029054635677755822"
"tcga_ut","1","balanced_spread","Bladder_Urothelial_Carcinoma","1740","203","8","9","0.005172413793103448","0.02857142857142857"
"tcga_ut","1","balanced_spread","Stomach_adenocarcinoma","1740","182","9","10","0.005747126436781609","0.025767336112163697"
"tcga_ut","1","balanced_spread","Prostate_adenocarcinoma","1740","213","8","9","0.005172413793103448","0.017192812044681895"
"tcga_ut","1","balanced_spread","Liver_hepatocellular_carcinoma","1740","190","9","10","0.005747126436781609","0.014519056261343007"
"tcga_ut","1","balanced_spread","Colon_adenocarcinoma","1740","147","11","12","0.006896551724137931","0.011541168191414505"
"tcga_ut","1","balanced_spread","Kidney_renal_papillary_cell_carcinoma","1740","150","11","12","0.006896551724137931","0.020689655172413786"
"tcga_ut","1","balanced_spread","Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma","1740","141","12","13","0.007471264367816092","0.018195157740278793"
"tcga_ut","1","balanced_spread","Testicular_Germ_Cell_Tumors","1740","92","18","19","0.010919540229885057","0.004197901049475268"
"tcga_ut","1","balanced_spread","Adrenocortical_carcinoma","1740","35","49","50","0.028735632183908046","0.004105090311986867"
"tcga_ut","1","balanced_spread","Thymoma","1740","59","29","30","0.017241379310344827","0.00847457627118644"
"tcga_ut","1","balanced_spread","Pancreatic_adenocarcinoma","1740","88","19","20","0.011494252873563218","0.008881922675026112"
"tcga_ut","1","balanced_spread","Esophageal_carcinoma","1740","78","22","23","0.013218390804597701","0.009549071618037131"
"tcga_ut","1","balanced_spread","Ovarian_serous_cystadenocarcinoma","1740","58","30","30","0.017241379310344827","0"
"tcga_ut","1","balanced_spread","Kidney_Chromophobe","1740","58","30","30","0.017241379310344827","0"
"tcga_ut","1","balanced_spread","Uterine_Carcinosarcoma","1740","35","49","50","0.028735632183908046","0.004105090311986867"
"tcga_ut","1","balanced_spread","Mesothelioma","1740","43","40","41","0.023563218390804597","0.006148088746324512"
"tcga_ut","1","balanced_spread","Rectum_adenocarcinoma","1740","45","38","39","0.022413793103448276","0.0057471264367816004"
"tcga_ut","1","balanced_spread","Uveal_Melanoma","1740","39","44","45","0.02586206896551724","0.005305039787798411"
"tcga_ut","1","balanced_spread","Pheochromocytoma_and_Paraganglioma","1740","30","58","58","0.03333333333333333","0"
"tcga_ut","2","balanced","Breast_invasive_carcinoma","1232","30","41","42","0.03409090909090909","0.0015151515151515457"
"tcga_ut","2","balanced","Brain_Lower_Grade_Glioma","1232","20","61","64","0.05194805194805195","0.007305194805194808"
"tcga_ut","2","balanced","Glioblastoma_multiforme","1233","20","61","66","0.0535279805352798","0.008961881589618859"
"tcga_ut","2","balanced","Lung_adenocarcinoma","1233","20","61","74","0.06001622060016221","0.010016220600162256"
"tcga_ut","2","balanced","Lung_squamous_cell_carcinoma","1233","22","56","57","0.046228710462287104","0.000774165007741686"
"tcga_ut","2","balanced","Sarcoma","1233","20","61","74","0.06001622060016221","0.010016220600162256"
"tcga_ut","2","balanced","Uterine_Corpus_Endometrial_Carcinoma","1233","22","56","57","0.046228710462287104","0.000774165007741686"
"tcga_ut","2","balanced","Head_and_Neck_squamous_cell_carcinoma","1233","21","58","59","0.047850770478507706","0.0034758428919013096"
"tcga_ut","2","balanced","Kidney_renal_clear_cell_carcinoma","1233","21","58","59","0.047850770478507706","0.0034758428919013096"
"tcga_ut","2","balanced","Thyroid_carcinoma","1233","25","49","50","0.040551500405515","0.004412003244120003"
"tcga_ut","2","balanced","Bladder_Urothelial_Carcinoma","1233","24","51","52","0.042173560421735604","0.004562043795620443"
"tcga_ut","2","balanced","Skin_Cutaneous_Melanoma","1233","20","61","74","0.06001622060016221","0.010016220600162256"
"tcga_ut","2","balanced","Prostate_adenocarcinoma","1233","27","20","47","0.038118410381184104","0.020816436874831052"
"tcga_ut","2","balanced","Stomach_adenocarcinoma","1233","21","58","59","0.047850770478507706","0.0034758428919013096"
"tcga_ut","2","balanced","Liver_hepatocellular_carcinoma","1233","20","61","74","0.06001622060016221","0.010016220600162256"
"tcga_ut","2","balanced","Colon_adenocarcinoma","1233","22","56","57","0.046228710462287104","0.000774165007741686"
"tcga_ut","2","balanced","Kidney_renal_papillary_cell_carcinoma","1233","20","61","74","0.06001622060016221","0.010016220600162256"
"tcga_ut","2","balanced","Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma","1233","23","53","54","0.043795620437956206","0.004443033957473832"
"tcga_ut","2","balanced","Testicular_Germ_Cell_Tumors","1233","20","61","68","0.055150040551500405","0.009489051094890556"
"tcga_ut","2","balanced","Adrenocortical_carcinoma","1233","20","61","68","0.055150040551500405","0.009489051094890556"
"tcga_ut","2","balanced","Pancreatic_adenocarcinoma","1233","20","60","75","0.06082725060827251","0.010827250608272554"
"tcga_ut","2","balanced","Esophageal_carcinoma","1233","32","38","39","0.031630170316301706","0.006462895377128967"
"tcga_ut","2","balanced","Thymoma","1233","20","61","74","0.06001622060016221","0.010016220600162256"
"tcga_ut","2","balanced","Kidney_Chromophobe","1233","21","58","59","0.047850770478507706","0.0034758428919013096"
"tcga_ut","2","balanced","Ovarian_serous_cystadenocarcinoma","1233","21","58","59","0.047850770478507706","0.0034758428919013096"
"tcga_ut","2","balanced","Uterine_Carcinosarcoma","1233","20","40","95","0.0770478507704785","0.027047850770478554"
"tcga_ut","2","balanced","Mesothelioma","1233","20","61","68","0.055150040551500405","0.009489051094890556"
"tcga_ut","2","balanced","Rectum_adenocarcinoma","1233","27","45","46","0.0373073803730738","0.004866180048661808"
"tcga_ut","2","balanced","Uveal_Melanoma","1233","22","56","57","0.046228710462287104","0.000774165007741686"
"tcga_ut","2","balanced","Pheochromocytoma_and_Paraganglioma","1233","30","41","42","0.0340632603406326","0.002189781021897822"
"tcga_ut","2","balanced_spread","Breast_invasive_carcinoma","1232","514","2","3","0.002435064935064935","0.09986608722017279"
"tcga_ut","2","balanced_spread","Brain_Lower_Grade_Glioma","1232","327","3","4","0.003246753246753247","0.047350967075737736"
"tcga_ut","2","balanced_spread","Glioblastoma_multiforme","1233","255","4","5","0.0040551500405515","0.028452840990410736"
"tcga_ut","2","balanced_spread","Lung_adenocarcinoma","1233","304","4","5","0.0040551500405515","0.013016498057796519"
"tcga_ut","2","balanced_spread","Lung_squamous_cell_carcinoma","1233","305","4","5","0.0040551500405515","0.010093999707497359"
"tcga_ut","2","balanced_spread","Sarcoma","1233","149","8","9","0.0072992700729927005","0.024102287757801384"
"tcga_ut","2","balanced_spread","Uterine_Corpus_Endometrial_Carcinoma","1233","267","4","5","0.0040551500405515","0.05112222860110988"
"tcga_ut","2","balanced_spread","Head_and_Neck_squamous_cell_carcinoma","1233","221","5","6","0.004866180048661801","0.04368552586671952"
"tcga_ut","2","balanced_spread","Kidney_renal_clear_cell_carcinoma","1233","269","4","5","0.0040551500405515","0.05301543369000561"
"tcga_ut","2","balanced_spread","Thyroid_carcinoma","1233","259","4","5","0.0040551500405515","0.03824679737088492"
"tcga_ut","2","balanced_spread","Bladder_Urothelial_Carcinoma","1233","203","6","7","0.0056772100567721","0.011266525235817951"
"tcga_ut","2","balanced_spread","Skin_Cutaneous_Melanoma","1233","227","5","6","0.004866180048661801","0.04516758309484767"
"tcga_ut","2","balanced_spread","Prostate_adenocarcinoma","1233","213","5","6","0.004866180048661801","0.028785853808985306"
"tcga_ut","2","balanced_spread","Stomach_adenocarcinoma","1233","182","6","7","0.0056772100567721","0.02576134327959141"
"tcga_ut","2","balanced_spread","Liver_hepatocellular_carcinoma","1233","190","6","7","0.0056772100567721","0.03850685106927902"
"tcga_ut","2","balanced_spread","Colon_adenocarcinoma","1233","147","8","9","0.0072992700729927005","0.0283032921197676"
"tcga_ut","2","balanced_spread","Kidney_renal_papillary_cell_carcinoma","1233","150","8","9","0.0072992700729927005","0.02087591240875913"
"tcga_ut","2","balanced_spread","Cervical_squamous_cell_carcinoma_and_endocervical_adenocarcinoma","1233","141","8","9","0.0072992700729927005","0.02174250660040378"
"tcga_ut","2","balanced_spread","Testicular_Germ_Cell_Tumors","1233","92","13","14","0.0113544201135442","0.01793963115765717"
"tcga_ut","2","balanced_spread","Adrenocortical_carcinoma","1233","35","35","36","0.029197080291970802","0.005005213764337824"
"tcga_ut","2","balanced_spread","Pancreatic_adenocarcinoma","1233","88","14","15","0.012165450121654502","0.0008018137580181762"
"tcga_ut","2","balanced_spread","Esophageal_carcinoma","1233","78","15","16","0.012976480129764802","0.009825940482874801"
"tcga_ut","2","balanced_spread","Thymoma","1233","59","20","21","0.0170316301703163","0.004371314281001284"
"tcga_ut","2","balanced_spread","Kidney_Chromophobe","1233","58","21","22","0.017842660178426603","0.00901921302122662"
"tcga_ut","2","balanced_spread","Ovarian_serous_cystadenocarcinoma","1233","58","21","22","0.017842660178426603","0.00901921302122662"
"tcga_ut","2","balanced_spread","Uterine_Carcinosarcoma","1233","35","35","36","0.029197080291970802","0.005005213764337824"
"tcga_ut","2","balanced_spread","Mesothelioma","1233","43","28","29","0.023519870235198703","0.007657632169599591"
"tcga_ut","2","balanced_spread","Rectum_adenocarcinoma","1233","45","27","28","0.0227088402270884","0.00875912408759122"
"tcga_ut","2","balanced_spread","Uveal_Melanoma","1233","39","31","32","0.025952960259529603","0.007486430844095095"
"tcga_ut","2","balanced_spread","Pheochromocytoma_and_Paraganglioma","1233","30","41","42","0.0340632603406326","0.002189781021897822"
